 Run 444872	 Raw lumi 2.82898	Cor lumi 2.80197	 QEDC-corr stat-err 22.9079	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444873	 Raw lumi 1.1727	Cor lumi 1.16151	 QEDC-corr stat-err 0.25	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444879	 Raw lumi 4.0713	Cor lumi 4.03243	 QEDC-corr stat-err 0.129099	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444880	 Raw lumi 0.953419	Cor lumi 0.944316	 QEDC-corr stat-err 0.27735	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444881	 Raw lumi 0.794859	Cor lumi 0.787269	 QEDC-corr stat-err 0.353553	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444889	 Raw lumi 7.57458	Cor lumi 7.50226	 QEDC-corr stat-err 0.106	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444890	 Raw lumi 6.06933	Cor lumi 6.01138	 QEDC-corr stat-err 0.109109	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445004	 Raw lumi 1.87756	Cor lumi 1.85671	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445007	 Raw lumi 0.528252	Cor lumi 0.522386	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445008	 Raw lumi 2.24691	Cor lumi 2.22196	 QEDC-corr stat-err 0.156174	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445010	 Raw lumi 1.12994	Cor lumi 1.1174	 QEDC-corr stat-err 0.223607	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445013	 Raw lumi 1.78853	Cor lumi 1.76867	 QEDC-corr stat-err 0.164399	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445014	 Raw lumi 1.18884	Cor lumi 1.17563	 QEDC-corr stat-err 0.208514	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445015	 Raw lumi 4.1572	Cor lumi 4.11103	 QEDC-corr stat-err 0.121268	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445016	 Raw lumi 1.96322	Cor lumi 1.94142	 QEDC-corr stat-err 0.208514	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445017	 Raw lumi 9.85665	Cor lumi 9.74719	 QEDC-corr stat-err 4.5474	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445019	 Raw lumi 1.06354	Cor lumi 1.05173	 QEDC-corr stat-err 0.242536	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445020	 Raw lumi 38.9234	Cor lumi 20.8878	 QEDC-corr stat-err 0.0472984	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445022	 Raw lumi 5.78307	Cor lumi 5.61116	 QEDC-corr stat-err 0.104828	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445024	 Raw lumi 6.53601	Cor lumi 4.29503	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 445107	 Raw lumi 1.24991	Cor lumi 0.997882	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
